"transaction_id","user_id","income_bracket","monthly_income","date","merchant","category","amount","transaction_type"
TXN00264,USR_0005,High,7434.69,"2023-06-08",ESPN+,Entertainment,9.32,debit
TXN01174,USR_0032,Low,2555.27,"2023-12-03",Walgreens,Healthcare,30.32,debit
TXN01629,USR_0043,Mid,4669.35,"2023-10-17",Netflix,Subscriptions,16.7,debit
TXN01127,USR_0003,Low,2209.31,"2023-05-20",CVS Pharmacy,Healthcare,129.29,debit
TXN01190,USR_0037,High,8224.05,"2023-01-27",Nike,Shopping,19.28,debit
TXN01799,USR_0014,Low,3047.21,"2023-04-06",Uber,Transport,49.12,debit
TXN01717,USR_0005,High,7434.69,"2023-07-19",Lyft,Transport,52.62,debit
TXN01696,USR_0013,Low,3138.21,"2023-12-12",Verizon,Utilities,88.43,debit
TXN01191,USR_0032,Low,2555.27,"2023-02-12",Apple Music,Subscriptions,8.0,debit
TXN01716,USR_0027,High,8139.49,"2023-07-20",Netflix,Subscriptions,13.22,debit
TXN00957,USR_0048,High,9294.26,"2023-05-26",Ticketmaster,Entertainment,20.1,debit
TXN01057,USR_0020,Low,3094.6,"2023-06-20",ESPN+,Entertainment,90.6,debit
TXN00722,USR_0009,High,7994.19,"2023-05-13",Amazon Prime,Subscriptions,15.51,debit
TXN00448,USR_0046,Mid,4531.57,"2023-04-15",Walgreens,Healthcare,142.5,debit
TXN00358,USR_0032,Low,2555.27,"2023-01-12",Panera Bread,Dining,40.38,debit
TXN00594,USR_0011,Mid,4551.1,"2023-05-11",Chick-fil-A,Dining,52.19,debit
TXN01138,USR_0035,High,7357.01,"2023-06-13",AMC Theaters,Entertainment,36.36,debit
TXN01051,USR_0019,Mid,5509.32,"2023-04-13",Amazon,Shopping,331.36,debit
TXN00052,USR_0036,High,7855.69,"2023-01-05",Chipotle,Dining,71.15,debit
TXN00675,USR_0017,Mid,4255.53,"2023-02-16",Walgreens,Healthcare,99.04,debit
TXN00758,USR_0003,Low,2209.31,"2023-05-29",Verizon,Utilities,108.16,debit
TXN01270,USR_0037,High,8224.05,"2023-10-11",uber,Transport,52.15,debit
TXN01687,USR_0013,Low,3138.21,"2023-08-20",BP Gas,Transport,15.46,debit
TXN01767,USR_0029,Low,3299.73,"2023-11-19",Kroger,Groceries,158.53,debit
TXN00976,USR_0047,Mid,4989.08,"2023-01-05",uber,Transport,15.38,debit
TXN01712,USR_0007,Low,2327.96,"2023-12-12",Netflix,Subscriptions,14.84,debit
TXN01495,USR_0016,Low,3435.82,"2023-09-25",UnitedHealth,Healthcare,146.45,debit
TXN00719,USR_0048,High,9294.26,"2023-01-19",Shell Gas,Transport,44.41,debit
TXN01230,USR_0041,Low,2343.57,"2023-12-19",American Water,Utilities,53.58,debit
TXN00730,USR_0012,High,8390.95,"2023-02-11",Steam,Entertainment,77.57,debit
TXN01180,USR_0037,High,8224.05,"2023-09-05",Dominion Energy,Utilities,132.84,debit
TXN00072,USR_0001,High,7556.66,"2023-06-05",Target,Shopping,168.1,debit
TXN00378,USR_0027,High,8139.49,"2023-12-20",BP Gas,Transport,31.6,debit
TXN00937,USR_0048,High,9294.26,"2023-03-18",AMC Theaters,Entertainment,25.31,debit
TXN00632,USR_0040,Low,3026.92,"2023-11-12",Shell Gas,Transport,31.44,debit
TXN00230,USR_0031,High,11170.55,"2023-02-04",Chipotle,Dining,11.53,debit
TXN00830,USR_0041,Low,2343.57,"2023-07-27",UnitedHealth,Healthcare,14.05,debit
TXN01551,USR_0044,Low,3369.7,"2023-12-25",Walmart,Shopping,12.69,debit
TXN01019,USR_0025,Mid,5443.38,"2023-10-09",Walmart,Shopping,162.15,debit
TXN01016,USR_0011,Mid,4551.1,"2023-10-01",Steam,Entertainment,108.79,debit
TXN01317,USR_0006,Mid,4079.46,"2023-10-03",AMC Theaters,Entertainment,117.22,debit
TXN00466,USR_0026,High,7347.78,"2023-08-24",Lyft,Transport,20.1,debit
TXN01327,USR_0036,High,7855.69,"2023-08-25",Spotify,Subscriptions,10.76,debit
TXN00611,USR_0048,High,9294.26,"2023-02-13",Chick-fil-A,Dining,14.35,debit
TXN00364,USR_0005,High,7434.69,"2023-07-17",Xbox Game Pass,Entertainment,37.17,debit
TXN00705,USR_0023,Mid,6073.51,"2023-06-26",Amazon Prime,Subscriptions,16.74,debit
TXN01429,USR_0020,Low,3094.6,"2023-01-11",Kroger,Groceries,128.96,debit
TXN01593,USR_0002,High,8375.15,"2023-06-24",Walgreens,Healthcare,109.58,debit
TXN00117,USR_0017,Mid,4255.53,"2023-06-24",Nike,Shopping,248.4,debit
TXN01288,USR_0014,Low,3047.21,"2023-03-12",Comcast,Utilities,126.34,debit
TXN01543,USR_0041,Low,2343.57,"2023-12-07",Lyft,Transport,45.93,debit
TXN00141,USR_0017,Mid,4255.53,"2023-11-17",BP Gas,Transport,9.54,debit
TXN00340,USR_0044,Low,3369.7,"2023-09-22",Comcast,Utilities,180.47,debit
TXN00919,USR_0013,Low,3138.21,"2023-09-13",Lyft,Transport,44.92,debit
TXN00005,USR_0036,High,7855.69,"2023-01-06",Chick-fil-A,Dining,57.56,debit
TXN01383,USR_0029,Low,3299.73,"2023-08-24",Kroger,Groceries,44.18,debit
TXN00186,USR_0020,Low,3094.6,"2023-11-24",UnitedHealth,Healthcare,119.64,debit
TXN00490,USR_0005,High,7434.69,"2023-03-27",UnitedHealth,Healthcare,111.06,debit
TXN01187,USR_0037,High,8224.05,"2023-06-19",UnitedHealth,Healthcare,240.54,debit
TXN01380,USR_0043,Mid,4669.35,"2023-09-12",Xbox Game Pass,Entertainment,35.09,debit
TXN01257,USR_0031,High,11170.55,"2023-09-12",Spotify,Subscriptions,7.56,debit
TXN01421,USR_0047,Mid,4989.08,"2023-03-13",Uber,Transport,31.51,debit
TXN00021,USR_0043,Mid,4669.35,"2023-09-06",EZPass Toll,Transport,10.54,debit
TXN01612,USR_0047,Mid,4989.08,"2023-10-12",Best Buy,Shopping,81.69,debit
TXN00996,USR_0039,High,10440.81,"2023-10-11",Netflix,Subscriptions,12.84,debit
TXN01720,USR_0030,Mid,4694.93,"2023-05-22",Uber,Transport,28.41,debit
TXN01518,USR_0034,High,11683.27,"2023-01-10",LabCorp,Healthcare,85.8,debit
TXN01387,USR_0011,Mid,4551.1,"2023-09-17",Aldi,Groceries,58.46,debit
TXN01581,USR_0029,Low,3299.73,"2023-06-22",Cigna,Healthcare,210.27,debit
TXN01770,USR_0014,Low,3047.21,"2023-05-01",Panera Bread,Dining,55.75,debit
TXN00769,USR_0044,Low,3369.7,"2023-09-26",Shell Gas,Transport,32.59,debit
TXN00869,USR_0012,High,8390.95,"2023-03-22",AT&T,Utilities,154.77,debit
TXN00368,USR_0046,Mid,4531.57,"2023-06-20",Xbox Game Pass,Entertainment,57.55,debit
TXN01652,USR_0002,High,8375.15,"2023-08-21",AT&T,Utilities,70.8,debit
TXN00279,USR_0043,Mid,4669.35,"2023-12-26",Panera Bread,Dining,40.59,debit
TXN00373,USR_0024,High,11427.26,"2023-06-19",Panera Bread,Dining,45.86,debit
TXN01574,USR_0027,High,8139.49,"2023-02-26",Starbucks,Dining,7.82,debit
TXN00518,USR_0022,Mid,4197.0,"2023-10-14",Cigna,Healthcare,65.65,debit
TXN00300,USR_0047,Mid,4989.08,"2023-11-08",CVS Pharmacy,Healthcare,196.28,debit
TXN00180,USR_0020,Low,3094.6,"2023-01-15",Trader Joe's,Groceries,146.36,debit
TXN00979,USR_0031,High,11170.55,"2023-04-03",Shell Gas,Transport,49.58,debit
TXN01172,USR_0036,High,7855.69,"2023-07-16",American Water,Utilities,64.68,debit
TXN00856,USR_0026,High,7347.78,"2023-07-06",Whole Foods,Groceries,154.92,debit
TXN00110,USR_0007,Low,2327.96,"2023-08-10",American Water,Utilities,153.17,debit
TXN00664,USR_0007,Low,2327.96,"2023-02-07",Comcast,Utilities,182.07,debit
TXN01633,USR_0042,Low,3207.57,"2023-12-11",Trader Joe's,Groceries,86.37,debit
TXN00371,USR_0020,Low,3094.6,"2023-10-31",AT&T,Utilities,172.53,debit
TXN00354,USR_0016,Low,3435.82,"2023-03-14",Chipotle,Dining,25.31,debit
TXN00432,USR_0026,High,7347.78,"2023-08-13",EZPass Toll,Transport,15.38,debit
TXN00718,USR_0042,Low,3207.57,"2023-09-12",Walmart,Shopping,147.56,debit
TXN01158,USR_0012,High,8390.95,"2023-12-06",Chick-fil-A,Dining,63.57,debit
TXN00299,USR_0006,Mid,4079.46,"2023-01-10",Target,Shopping,196.59,debit
TXN01471,USR_0030,Mid,4694.93,"2023-08-12",Panera Bread,Dining,7.86,debit
TXN00755,USR_0043,Mid,4669.35,"2023-09-10",Netflix,Subscriptions,7.98,debit
TXN01498,USR_0037,High,8224.05,"2023-05-10",Verizon,Utilities,133.69,debit
TXN01648,USR_0004,Low,3015.05,"2023-10-14",Trader Joe's,Groceries,155.24,debit
TXN01462,USR_0009,High,7994.19,"2023-10-14",Publix,Groceries,44.6,debit
TXN00147,USR_0028,Mid,6463.05,"2023-06-15",Amazon,Shopping,209.62,debit
TXN00242,USR_0027,High,8139.49,"2023-08-21",Comcast,Utilities,99.21,debit
TXN01519,USR_0005,High,7434.69,"2023-05-18",Cigna,Healthcare,38.07,debit
TXN01398,USR_0049,Mid,4349.08,"2023-12-08",Comcast,Utilities,138.37,debit
TXN00397,USR_0048,High,9294.26,"2023-05-29",Kroger,Groceries,64.23,debit
TXN01183,USR_0040,Low,3026.92,"2023-02-15",BP Gas,Transport,38.95,debit
TXN00721,USR_0011,Mid,4551.1,"2023-12-03",Amazon Prime,Subscriptions,8.27,debit
TXN01076,USR_0013,Low,3138.21,"2023-04-15",McDonald's,Dining,73.99,debit
TXN01790,USR_0025,Mid,5443.38,"2023-07-23",Chick-fil-A,Dining,68.7,debit
TXN00285,USR_0045,High,11381.84,"2023-11-16",Hulu,Subscriptions,7.57,debit
TXN01527,USR_0006,Mid,4079.46,"2023-12-08",Ticketmaster,Entertainment,24.93,debit
TXN01157,USR_0028,Mid,6463.05,"2023-10-18",AT&T,Utilities,151.06,debit
TXN00507,USR_0043,Mid,4669.35,"2023-12-07",Comcast,Utilities,143.52,debit
TXN01768,USR_0005,High,7434.69,"2023-04-09",Whole Foods,Groceries,169.82,debit
TXN00376,USR_0041,Low,2343.57,"2023-11-14",Walgreens,Healthcare,207.2,debit
TXN00112,USR_0035,High,7357.01,"2023-09-05",ESPN+,Entertainment,99.96,debit
TXN01084,USR_0020,Low,3094.6,"2023-05-27",Ticketmaster,Entertainment,53.58,debit
TXN01364,USR_0032,Low,2555.27,"2023-07-04",Nike,Shopping,255.53,debit
TXN00142,USR_0015,Mid,4694.68,"2023-11-28",Amazon Prime,Subscriptions,17.75,debit
TXN01588,USR_0040,Low,3026.92,"2023-10-05",Publix,Groceries,101.09,debit
TXN00352,USR_0021,High,7624.13,"2023-06-13",American Water,Utilities,60.92,debit
TXN00325,USR_0005,High,7434.69,"2023-05-01",Verizon,Utilities,101.26,debit
TXN01568,USR_0044,Low,3369.7,"2023-09-27",LabCorp,Healthcare,144.15,debit
TXN01617,USR_0001,High,7556.66,"2023-12-11",Hulu,Subscriptions,14.23,debit
TXN01086,USR_0029,Low,3299.73,"2023-02-16",McDonald's,Dining,70.65,debit
TXN01339,USR_0033,Low,3005.26,"2023-04-10",Netflix,Subscriptions,9.17,debit
TXN00790,USR_0038,Mid,4948.64,"2023-09-16",Hulu,Subscriptions,7.06,debit
TXN01123,USR_0021,High,7624.13,"2023-10-12",Whole Foods,Groceries,110.27,debit
TXN00904,USR_0011,Mid,4551.1,"2023-02-14",Best Buy,Shopping,130.06,debit
TXN00639,USR_0011,Mid,4551.1,"2023-02-21",Lyft,Transport,18.19,debit
TXN01655,USR_0027,High,8139.49,"2023-09-04",Ticketmaster,Entertainment,32.96,debit
TXN00682,USR_0026,High,7347.78,"2023-01-18",Netflix,Subscriptions,12.84,debit
TXN00545,USR_0019,Mid,5509.32,"2023-05-29",Nike,Shopping,345.07,debit
TXN01565,USR_0050,High,9806.84,"2023-07-04",AMC Theaters,Entertainment,21.85,debit
TXN00439,USR_0027,High,8139.49,"2023-07-29",Amazon Prime,Subscriptions,11.89,debit
TXN00526,USR_0044,Low,3369.7,"2023-12-28",Nike,Shopping,210.66,debit
TXN00450,USR_0023,Mid,6073.51,"2023-06-07",Walmart,Shopping,179.07,debit
TXN00341,USR_0050,High,9806.84,"2023-10-10",Spotify,Subscriptions,17.81,debit
TXN00612,USR_0026,High,7347.78,"2023-02-08",Aldi,Groceries,124.3,debit
TXN01447,USR_0042,Low,3207.57,"2023-11-10",Uber,Transport,14.3,debit
TXN00741,USR_0011,Mid,4551.1,"2023-07-26",Whole Foods,Groceries,52.01,debit
TXN00309,USR_0002,High,8375.15,"2023-07-02",Starbucks,Dining,59.01,debit
TXN01402,USR_0006,Mid,4079.46,"2023-10-24",Chick-fil-A,Dining,28.58,debit
TXN00659,USR_0047,Mid,4989.08,"2023-01-01",Aldi,Groceries,87.31,debit
TXN01213,USR_0043,Mid,4669.35,"2023-11-28",Netflix,Subscriptions,10.29,debit
TXN01619,USR_0042,Low,3207.57,"2023-11-30",Chick-fil-A,Dining,7.17,debit
TXN00515,USR_0029,Low,3299.73,"2023-12-23",Steam,Entertainment,12.73,debit
TXN01227,USR_0041,Low,2343.57,"2023-11-28",Starbucks,Dining,72.26,debit
TXN00314,USR_0033,Low,3005.26,"2023-07-23",Steam,Entertainment,9.21,debit
TXN01343,USR_0011,Mid,4551.1,"2023-02-22",Lyft,Transport,31.69,debit
TXN00096,USR_0043,Mid,4669.35,"2023-01-14",Panera Bread,Dining,14.5,debit
TXN01059,USR_0016,Low,3435.82,"2023-09-14",Amazon,Shopping,308.75,debit
TXN01009,USR_0027,High,8139.49,"2023-07-08",Publix,Groceries,58.86,debit
TXN00528,USR_0008,High,10010.09,"2023-04-04",Comcast,Utilities,121.73,debit
TXN00652,USR_0036,High,7855.69,"2023-12-22",Comcast,Utilities,146.49,debit
TXN01538,USR_0019,Mid,5509.32,"2023-12-29",Xbox Game Pass,Entertainment,62.31,debit
TXN00825,USR_0050,High,9806.84,"2023-10-03",Kroger,Groceries,49.78,debit
TXN01723,USR_0048,High,9294.26,"2023-02-16",Best Buy,Shopping,127.91,debit
TXN00008,USR_0049,Mid,4349.08,"2023-04-02",Starbucks,Dining,40.54,debit
TXN00102,USR_0013,Low,3138.21,"2023-01-11",Spotify,Subscriptions,14.33,debit
TXN00420,USR_0048,High,9294.26,"2023-04-22",Chipotle,Dining,34.66,debit
TXN01250,USR_0050,High,9806.84,"2023-09-01",Spotify,Subscriptions,13.8,debit
TXN01709,USR_0039,High,10440.81,"2023-11-08",Cigna,Healthcare,59.01,debit
TXN00838,USR_0036,High,7855.69,"2023-03-14",Chipotle,Dining,5.35,debit
TXN00693,USR_0022,Mid,4197.0,"2023-12-20",Uber,Transport,55.49,debit
TXN01721,USR_0026,High,7347.78,"2023-11-06",EZPass Toll,Transport,21.75,debit
TXN01294,USR_0006,Mid,4079.46,"2023-07-20",Amazon Prime,Subscriptions,19.46,debit
TXN00109,USR_0042,Low,3207.57,"2023-06-24",Aldi,Groceries,150.68,debit
TXN00282,USR_0010,High,10506.62,"2023-02-09",Amazon,Shopping,193.52,debit
TXN01085,USR_0040,Low,3026.92,"2023-01-28",Hulu,Subscriptions,17.79,debit
TXN01348,USR_0009,High,7994.19,"2023-12-22",Spotify,Subscriptions,8.69,debit
TXN00763,USR_0045,High,11381.84,"2023-09-02",Walgreens,Healthcare,37.13,debit
TXN00757,USR_0017,Mid,4255.53,"2023-08-26",Kroger,Groceries,149.17,debit
TXN00431,USR_0044,Low,3369.7,"2023-12-27",Whole Foods,Groceries,137.19,debit
TXN00061,USR_0015,Mid,4694.68,"2023-04-25",Whole Foods,Groceries,80.75,debit
TXN01766,USR_0045,High,11381.84,"2023-04-24",LabCorp,Healthcare,87.19,debit
TXN01052,USR_0005,High,7434.69,"2023-07-18",Walmart,Shopping,16.49,debit
TXN01316,USR_0038,Mid,4948.64,"2023-09-27",Shell Gas,Transport,14.16,debit
TXN00471,USR_0015,Mid,4694.68,"2023-04-19",Steam,Entertainment,10.35,debit
TXN00649,USR_0005,High,7434.69,"2023-07-11",LabCorp,Healthcare,34.25,debit
TXN01384,USR_0043,Mid,4669.35,"2023-06-05",Hulu,Subscriptions,12.6,debit
TXN01605,USR_0009,High,7994.19,"2023-06-05",Cigna,Healthcare,30.14,debit
TXN01530,USR_0002,High,8375.15,"2023-07-03",Walmart,Shopping,69.4,debit
TXN01566,USR_0028,Mid,6463.05,"2023-07-30",Chipotle,Dining,9.35,debit
TXN00029,USR_0042,Low,3207.57,"2023-10-04",Kroger,Groceries,167.85,debit
TXN00225,USR_0039,High,10440.81,"2023-09-29",Best Buy,Shopping,181.89,debit
TXN01276,USR_0045,High,11381.84,"2023-02-20",ESPN+,Entertainment,32.66,debit
TXN00789,USR_0041,Low,2343.57,"2023-12-11",Panera Bread,Dining,37.02,debit
TXN01641,USR_0002,High,8375.15,"2023-10-31",Verizon,Utilities,79.54,debit
TXN00345,USR_0038,Mid,4948.64,"2023-10-25",Spotify,Subscriptions,16.37,debit
TXN00928,USR_0050,High,9806.84,"2023-03-31",AMC Theaters,Entertainment,85.3,debit
TXN00735,USR_0003,Low,2209.31,"2023-10-01",Shell Gas,Transport,57.15,debit
TXN00416,USR_0014,Low,3047.21,"2023-10-26",AMC Theaters,Entertainment,108.37,debit
TXN00480,USR_0025,Mid,5443.38,"2023-08-10",Apple Music,Subscriptions,15.59,debit
TXN00099,USR_0025,Mid,5443.38,"2023-05-23",UnitedHealth,Healthcare,210.38,debit
TXN01140,USR_0036,High,7855.69,"2023-09-21",McDonald's,Dining,43.46,debit
TXN00703,USR_0041,Low,2343.57,"2023-03-05",Whole Foods,Groceries,76.46,debit
TXN00673,USR_0041,Low,2343.57,"2023-05-30",Panera Bread,Dining,64.06,debit
TXN01365,USR_0006,Mid,4079.46,"2023-06-17",AMC Theaters,Entertainment,49.25,debit
TXN00013,USR_0005,High,7434.69,"2023-09-30",Spotify,Subscriptions,19.31,debit
TXN01533,USR_0050,High,9806.84,"2023-10-13",Target,Shopping,307.06,debit
TXN01415,USR_0020,Low,3094.6,"2023-08-26",Xbox Game Pass,Entertainment,119.0,debit
TXN00168,USR_0025,Mid,5443.38,"2023-08-22",Comcast,Utilities,196.92,debit
TXN00929,USR_0030,Mid,4694.93,"2023-06-11",Kroger,Groceries,126.23,debit
TXN01105,USR_0024,High,11427.26,"2023-01-19",Starbucks,Dining,62.42,debit
TXN00189,USR_0045,High,11381.84,"2023-06-01",Aldi,Groceries,60.29,debit
TXN00944,USR_0042,Low,3207.57,"2023-10-03",Amazon Prime,Subscriptions,11.62,debit
TXN00044,USR_0024,High,11427.26,"2023-05-26",Hulu,Subscriptions,17.84,debit
TXN01713,USR_0002,High,8375.15,"2023-04-06",Uber,Transport,25.0,debit
TXN00010,USR_0050,High,9806.84,"2023-09-29",Publix,Groceries,68.49,debit
TXN01247,USR_0003,Low,2209.31,"2023-03-10",Chick-fil-A,Dining,31.33,debit
TXN00148,USR_0002,High,8375.15,"2023-12-11",Nike,Shopping,23.68,debit
TXN01444,USR_0044,Low,3369.7,"2023-10-31",Verizon,Utilities,71.79,debit
TXN00014,USR_0011,Mid,4551.1,"2023-05-16",Walgreens,Healthcare,232.94,debit
TXN01596,USR_0017,Mid,4255.53,"2023-02-15",Amazon Prime,Subscriptions,19.38,debit
TXN00638,USR_0004,Low,3015.05,"2023-08-30",AT&T,Utilities,199.94,debit
TXN00821,USR_0008,High,10010.09,"2023-07-17",Nike,Shopping,256.15,debit
TXN01117,USR_0001,High,7556.66,"2023-02-28",Verizon,Utilities,103.37,debit
TXN00604,USR_0048,High,9294.26,"2023-11-15",BP Gas,Transport,23.99,debit
TXN01434,USR_0020,Low,3094.6,"2023-04-18",Hulu,Subscriptions,15.21,debit
